num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
23,2023,1,3,00:00 a 05:59,Mañana,Enero,Domingo,Santa Rosa,Cuilapa,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Hyundai,Blanco,2016,2010-2019,Colisión
24,2023,1,2,00:00 a 05:59,Mañana,Enero,Domingo,Santa Rosa,Barberena,Ignorado,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Asia Hero,Ignorado,2022,2020-2029,Colisión
25,2023,1,13,12:00 a 17:59,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorado,Hombre,44,40-44,40-44,40 - 44,Ignorado,Mayor,Camioneta,Hyundai,Gris,2011,2010-2019,Colisión
26,2023,1,13,12:00 a 17:59,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Honda,Negro,Ignorado,Ignorado,Colisión
27,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorado,Hombre,51,50-54,50-54,50 - 54,Ignorado,Mayor,Automóvil,Hyundai,Rojo,Ignorado,Ignorado,Colisión
28,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,Suchitepéquez,Patulul,Ignorado,Hombre,40,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Nissan,Verde,1995,1990-1999,Colisión
29,2023,1,20,18:00 a 23:59,Noche,Enero,Domingo,Retalhuleu,Retalhuleu,Ignorado,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Cuatrimoto,Ignorado,Rojo,Ignorado,Ignorado,Vuelco
30,2023,1,11,06:00 a 11:59,Mañana,Enero,Domingo,Quetzaltenango,Salcajá,Ignorado,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Suzuki,Azul,Ignorado,Ignorado,Colisión
31,2023,1,11,06:00 a 11:59,Mañana,Enero,Domingo,Quetzaltenango,Salcajá,Ignorado,Mujer,44,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Ignorado,Amarillo,Ignorado,Ignorado,Colisión
32,2023,1,15,12:00 a 17:59,Tarde,Enero,Domingo,San Marcos,Sibinal,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Pick up,Toyota,Rojo,Ignorado,Ignorado,Embarrancó
