num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
1013,2023,26,20,18:00 a 23:59,Noche,Enero,Jueves,Guatemala,Guatemala,3,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1014,2023,26,20,18:00 a 23:59,Noche,Enero,Jueves,Guatemala,Guatemala,1,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1015,2023,26,10,06:00 a 11:59,Mañana,Enero,Jueves,Escuintla,Escuintla,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1016,2023,26,2,00:00 a 05:59,Mañana,Enero,Jueves,Chimaltenango,El Tejar,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Bajaj,Gris,Ignorado,Ignorado,Atropello
1017,2023,27,10,06:00 a 11:59,Mañana,Enero,Viernes,Guatemala,Mixco,4,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Automóvil,Mazda,Negro,Ignorado,Ignorado,Atropello
1018,2023,27,6,06:00 a 11:59,Mañana,Enero,Viernes,Escuintla,Palín,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1019,2023,27,12,12:00 a 17:59,Tarde,Enero,Viernes,Escuintla,Escuintla,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1020,2023,27,21,18:00 a 23:59,Noche,Enero,Viernes,Alta Verapaz,Santa Catalina La Tinta,Ignorado,Hombre,31,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Suzuki,Gris,Ignorado,Ignorado,Atropello
1021,2023,28,8,06:00 a 11:59,Mañana,Enero,Sábado,Guatemala,Villa Canales,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Ignorado,Rojo,Ignorado,Ignorado,Atropello
1022,2023,28,21,18:00 a 23:59,Noche,Enero,Sábado,Guatemala,Villa Canales,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,TVS Apache,Negro,Ignorado,Ignorado,Atropello
1023,2023,28,21,18:00 a 23:59,Noche,Enero,Sábado,Guatemala,Mixco,10,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Atropello
1024,2023,28,20,18:00 a 23:59,Noche,Enero,Sábado,Santa Rosa,Barberena,Ignorado,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1025,2023,28,21,18:00 a 23:59,Noche,Enero,Sábado,Suchitepéquez,San Bernardino,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Pick up,Toyota,Azul,Ignorado,Ignorado,Atropello
1026,2023,28,18,18:00 a 23:59,Noche,Enero,Sábado,Alta Verapaz,Santa Cruz Verapaz,Ignorado,Hombre,42,40-44,40-44,40 - 44,Ignorado,Mayor,Pick up,Toyota,Gris,Ignorado,Ignorado,Atropello
1027,2023,28,19,18:00 a 23:59,Noche,Enero,Sábado,Petén,Poptún,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Camioneta,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1028,2023,28,19,18:00 a 23:59,Noche,Enero,Sábado,Petén,Poptún,Ignorado,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1029,2023,28,21,18:00 a 23:59,Noche,Enero,Sábado,Chimaltenango,Tecpán Guatemala,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1030,2023,29,4,00:00 a 05:59,Mañana,Enero,Domingo,Guatemala,Santa Catarina Pinula,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1031,2023,29,22,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,Guatemala,11,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1032,2023,29,20,18:00 a 23:59,Noche,Enero,Domingo,Guatemala,San Juan Sacatepéquez,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1033,2023,29,0,00:00 a 05:59,Mañana,Enero,Domingo,Jutiapa,Jerez,Ignorado,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1034,2023,29,1,00:00 a 05:59,Mañana,Enero,Domingo,Escuintla,Escuintla,Ignorado,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1035,2023,29,20,18:00 a 23:59,Noche,Enero,Domingo,Retalhuleu,San Sebastián,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Automóvil,Honda,Rojo,Ignorado,Ignorado,Atropello
1036,2023,29,10,06:00 a 11:59,Mañana,Enero,Domingo,Quetzaltenango,Quetzaltenango,Ignorado,Hombre,37,35-39,35-39,35 - 39,Ignorado,Mayor,Bus urbano,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1037,2023,29,2,00:00 a 05:59,Mañana,Enero,Domingo,Alta Verapaz,Cobán,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Automóvil,Honda,Gris,2014,2010-2019,Atropello
1038,2023,29,22,18:00 a 23:59,Noche,Enero,Domingo,Quiché,Chajul,Ignorado,Mujer,27,25-29,25-29,25 - 29,Ignorado,Mayor,Automóvil,Honda,Azul,Ignorado,Ignorado,Atropello
1039,2023,29,3,00:00 a 05:59,Mañana,Enero,Domingo,Sacatepéquez,Pastores,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,TVS Apache,Gris,Ignorado,Ignorado,Atropello
1040,2023,30,8,06:00 a 11:59,Mañana,Enero,Lunes,Guatemala,Guatemala,1,Hombre,26,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Yamaha,Negro,2021,2020-2029,Atropello
1041,2023,30,20,18:00 a 23:59,Noche,Enero,Lunes,Escuintla,San José,Ignorado,Hombre,49,45-49,45-49,45 - 49,Ignorado,Mayor,Motocicleta,Haojue,Negro,2018,2010-2019,Atropello
1042,2023,30,6,06:00 a 11:59,Mañana,Enero,Lunes,Quetzaltenango,Quetzaltenango,3,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1043,2023,30,18,18:00 a 23:59,Noche,Enero,Lunes,Baja Verapaz,Rabinal,3,Hombre,17,15-19,15-19,15 - 19,Ignorado,Menor,Motocicleta,Suzuki,Ignorado,Ignorado,Ignorado,Atropello
1044,2023,31,9,06:00 a 11:59,Mañana,Enero,Martes,Guatemala,Guatemala,1,Hombre,29,25-29,25-29,25 - 29,Ignorado,Mayor,Pick up,Ford,Blanco,1997,1990-1999,Atropello
1045,2023,31,17,12:00 a 17:59,Tarde,Enero,Martes,Guatemala,Chinautla,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Microbús,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1046,2023,31,7,06:00 a 11:59,Mañana,Enero,Martes,Guatemala,Mixco,8,Hombre,29,25-29,25-29,25 - 29,Ignorado,Mayor,Bus urbano,Internacional,Rojo,Ignorado,Ignorado,Atropello
1047,2023,31,19,18:00 a 23:59,Noche,Enero,Martes,Guatemala,Guatemala,19,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Atropello
1048,2023,31,19,18:00 a 23:59,Noche,Enero,Martes,Santa Rosa,Santa Rosa de Lima,Ignorado,Hombre,51,50-54,50-54,50 - 54,Ignorado,Mayor,Camioneta,Toyota,Negro,2005,2000-2009,Atropello
1049,2023,1,20,18:00 a 23:59,Noche,Febrero,Miércoles,Guatemala,Guatemala,9,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Camioneta,Scion,Gris,2005,2000-2009,Colisión
1050,2023,1,20,18:00 a 23:59,Noche,Febrero,Miércoles,Guatemala,Guatemala,9,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Yamaha,Ignorado,2018,2010-2019,Colisión
1051,2023,1,13,12:00 a 17:59,Tarde,Febrero,Miércoles,Guatemala,San Pedro Ayampuc,Ignorado,Hombre,45,45-49,45-49,45 - 49,Ignorado,Mayor,Automóvil,Volkswagen,Rojo,1995,1990-1999,Colisión
1052,2023,1,13,12:00 a 17:59,Tarde,Febrero,Miércoles,Guatemala,San Pedro Ayampuc,Ignorado,Hombre,14,Menor de 15,Menor de 15,10 - 14,Ignorado,Menor,Motocicleta,Bajaj,Azul,2014,2010-2019,Colisión
1053,2023,1,8,06:00 a 11:59,Mañana,Febrero,Miércoles,Guatemala,Guatemala,17,Hombre,37,35-39,35-39,35 - 39,Ignorado,Mayor,Automóvil,Dodge,Verde,1998,1990-1999,Choque
1054,2023,1,15,12:00 a 17:59,Tarde,Febrero,Miércoles,Guatemala,Fraijanes,Ignorado,Hombre,62,60-64,60 y más,60 - 64,Ignorado,Mayor,Motocicleta,Asia Hero,Negro,2022,2020-2029,Colisión
1055,2023,1,15,12:00 a 17:59,Tarde,Febrero,Miércoles,Guatemala,Fraijanes,Ignorado,Hombre,36,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Freedom,Rojo,2019,2010-2019,Colisión
1056,2023,1,16,12:00 a 17:59,Tarde,Febrero,Miércoles,Guatemala,Guatemala,13,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Bus urbano,Volvo,Ignorado,2023,2020-2029,Colisión
1057,2023,1,16,12:00 a 17:59,Tarde,Febrero,Miércoles,Guatemala,Guatemala,13,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Freedom,Ignorado,2023,2020-2029,Colisión
1058,2023,1,14,12:00 a 17:59,Tarde,Febrero,Miércoles,Guatemala,Guatemala,12,Hombre,61,60-64,60 y más,60 - 64,Ignorado,Mayor,Automóvil,Mitsubishi,Azul,2005,2000-2009,Colisión
1059,2023,1,14,12:00 a 17:59,Tarde,Febrero,Miércoles,Guatemala,Guatemala,12,Mujer,63,60-64,60 y más,60 - 64,Ignorado,Mayor,Automóvil,Mazda,Ignorado,2008,2000-2009,Colisión
1060,2023,1,14,12:00 a 17:59,Tarde,Febrero,Miércoles,Guatemala,Guatemala,12,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,TVS Apache,Negro,2022,2020-2029,Colisión
1061,2023,1,17,12:00 a 17:59,Tarde,Febrero,Miércoles,Guatemala,Guatemala,12,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Bajaj,Blanco,2022,2020-2029,Colisión
1062,2023,1,17,12:00 a 17:59,Tarde,Febrero,Miércoles,Guatemala,Guatemala,12,Hombre,33,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Nissan,Negro,2014,2010-2019,Colisión
1063,2023,1,9,06:00 a 11:59,Mañana,Febrero,Miércoles,Guatemala,Guatemala,12,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Derrape
1064,2023,1,8,06:00 a 11:59,Mañana,Febrero,Miércoles,Guatemala,Mixco,4,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Chevrolet,Azul,2014,2010-2019,Colisión
1065,2023,1,8,06:00 a 11:59,Mañana,Febrero,Miércoles,Guatemala,Mixco,4,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Yamaha,Negro,2022,2020-2029,Colisión
1066,2023,1,23,18:00 a 23:59,Noche,Febrero,Miércoles,Guatemala,Mixco,11,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Serpento,Azul,2020,2020-2029,Colisión
1067,2023,1,23,18:00 a 23:59,Noche,Febrero,Miércoles,Guatemala,Mixco,11,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Avanti,Negro,2021,2020-2029,Colisión
1068,2023,1,23,18:00 a 23:59,Noche,Febrero,Miércoles,Guatemala,Mixco,11,Hombre,18,15-19,15-19,15 - 19,Ignorado,Mayor,Motocicleta,Yamaha,Corinto,Ignorado,Ignorado,Colisión
1069,2023,1,5,00:00 a 05:59,Mañana,Febrero,Miércoles,Guatemala,Guatemala,19,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Choque
1070,2023,1,10,06:00 a 11:59,Mañana,Febrero,Miércoles,Guatemala,Guatemala,4,Hombre,31,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Choque
1071,2023,1,0,00:00 a 05:59,Mañana,Febrero,Miércoles,Jutiapa,Jutiapa,Ignorado,Hombre,28,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Honda,Rojo,Ignorado,Ignorado,Colisión
1072,2023,1,0,00:00 a 05:59,Mañana,Febrero,Miércoles,Jutiapa,Jutiapa,Ignorado,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Camioneta,Honda,Café,2004,2000-2009,Colisión
1073,2023,1,19,18:00 a 23:59,Noche,Febrero,Miércoles,Santa Rosa,Oratorio,Ignorado,Hombre,41,40-44,40-44,40 - 44,Ignorado,Mayor,Panel,Ignorado,Blanco,Ignorado,Ignorado,Colisión
1074,2023,1,19,18:00 a 23:59,Noche,Febrero,Miércoles,Santa Rosa,Oratorio,Ignorado,Hombre,36,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Ignorado,Rojo,Ignorado,Ignorado,Colisión
1075,2023,1,23,18:00 a 23:59,Noche,Febrero,Miércoles,Quetzaltenango,Coatepeque,Ignorado,Hombre,31,30-34,30-34,30 - 34,Ignorado,Mayor,Camioneta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
1076,2023,1,23,18:00 a 23:59,Noche,Febrero,Miércoles,Quetzaltenango,Coatepeque,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Ignorado,Verde,Ignorado,Ignorado,Colisión
1077,2023,1,22,18:00 a 23:59,Noche,Febrero,Miércoles,Quetzaltenango,Quetzaltenango,3,Hombre,31,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Suzuki,Azul,Ignorado,Ignorado,Colisión
1078,2023,1,22,18:00 a 23:59,Noche,Febrero,Miércoles,Quetzaltenango,Quetzaltenango,3,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Otros,Azul,Ignorado,Ignorado,Colisión
1079,2023,1,22,18:00 a 23:59,Noche,Febrero,Miércoles,Huehuetenango,Chiantla,Ignorado,Hombre,52,50-54,50-54,50 - 54,Ignorado,Mayor,Camioneta,Toyota,Gris,2005,2000-2009,Vuelco
1080,2023,1,22,18:00 a 23:59,Noche,Febrero,Miércoles,Alta Verapaz,San Juan Chamelco,Ignorado,Hombre,29,25-29,25-29,25 - 29,Ignorado,Mayor,Automóvil,Mitsubishi,Rojo,1991,1990-1999,Colisión
1081,2023,1,22,18:00 a 23:59,Noche,Febrero,Miércoles,Alta Verapaz,San Juan Chamelco,Ignorado,Hombre,31,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Honda,Negro,Ignorado,Ignorado,Colisión
1082,2023,1,15,12:00 a 17:59,Tarde,Febrero,Miércoles,Petén,Flores,Ignorado,Hombre,30,30-34,30-34,30 - 34,Ignorado,Mayor,Automóvil,Toyota,Beige,Ignorado,Ignorado,Colisión
1083,2023,1,15,12:00 a 17:59,Tarde,Febrero,Miércoles,Petén,Flores,Ignorado,Mujer,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Italika,Negro,Ignorado,Ignorado,Colisión
1084,2023,1,5,00:00 a 05:59,Mañana,Febrero,Miércoles,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Camión,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
1085,2023,1,5,00:00 a 05:59,Mañana,Febrero,Miércoles,Sacatepéquez,Sumpango,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Colisión
1086,2023,2,10,06:00 a 11:59,Mañana,Febrero,Jueves,Guatemala,Santa Catarina Pinula,5,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Motocicleta,Yamaha,Azul,2022,2020-2029,Derrape
1087,2023,2,21,18:00 a 23:59,Noche,Febrero,Jueves,Guatemala,Villa Canales,Ignorado,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Automóvil,Mazda,Rosado,Ignorado,Ignorado,Choque
1088,2023,2,12,12:00 a 17:59,Tarde,Febrero,Jueves,Guatemala,Mixco,4,Hombre,38,35-39,35-39,35 - 39,Ignorado,Mayor,Automóvil,Chevrolet,Azul,Ignorado,Ignorado,Colisión
1089,2023,2,12,12:00 a 17:59,Tarde,Febrero,Jueves,Guatemala,Mixco,4,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,TVS Apache,Negro,2020,2020-2029,Colisión
1090,2023,2,23,18:00 a 23:59,Noche,Febrero,Jueves,Guatemala,Mixco,Ignorado,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
1091,2023,2,23,18:00 a 23:59,Noche,Febrero,Jueves,Guatemala,Mixco,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
1092,2023,2,19,18:00 a 23:59,Noche,Febrero,Jueves,Jutiapa,Jutiapa,Ignorado,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Camioneta,Toyota,Verde,2004,2000-2009,Colisión
1093,2023,2,19,18:00 a 23:59,Noche,Febrero,Jueves,Jutiapa,Jutiapa,Ignorado,Mujer,23,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Honda,Negro,Ignorado,Ignorado,Colisión
1094,2023,2,6,06:00 a 11:59,Mañana,Febrero,Jueves,Escuintla,Palín,Ignorado,Hombre,33,30-34,30-34,30 - 34,Ignorado,Mayor,Microbús,Kia,Amarillo,2002,2000-2009,Colisión
1095,2023,2,6,06:00 a 11:59,Mañana,Febrero,Jueves,Escuintla,Palín,Ignorado,Hombre,25,25-29,25-29,25 - 29,Ignorado,Mayor,Camioneta,Land Rover,Negro,2012,2010-2019,Colisión
1096,2023,2,6,06:00 a 11:59,Mañana,Febrero,Jueves,Escuintla,La Gomera,Ignorado,Hombre,24,20-24,20-24,20 - 24,Ignorado,Mayor,Pick up,Mazda,Blanco,2015,2010-2019,Colisión
1097,2023,2,6,06:00 a 11:59,Mañana,Febrero,Jueves,Escuintla,La Gomera,Ignorado,Mujer,16,15-19,15-19,15 - 19,Ignorado,Menor,Motocicleta,Italika,Rojo,2014,2010-2019,Colisión
1098,2023,2,10,06:00 a 11:59,Mañana,Febrero,Jueves,Escuintla,Nueva Concepción,Ignorado,Hombre,37,35-39,35-39,35 - 39,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
1099,2023,2,10,06:00 a 11:59,Mañana,Febrero,Jueves,Escuintla,Nueva Concepción,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
1100,2023,2,21,18:00 a 23:59,Noche,Febrero,Jueves,Santa Rosa,Santa Rosa de Lima,Ignorado,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,X-bow KRM,Gris,Ignorado,Ignorado,Colisión
1101,2023,2,21,18:00 a 23:59,Noche,Febrero,Jueves,Santa Rosa,Santa Rosa de Lima,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Automóvil,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
1102,2023,3,5,00:00 a 05:59,Mañana,Febrero,Viernes,Guatemala,Guatemala,17,Hombre,29,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Suzuki,Negro,2019,2010-2019,Derrape
1103,2023,3,18,18:00 a 23:59,Noche,Febrero,Viernes,Guatemala,Guatemala,6,Hombre,35,35-39,35-39,35 - 39,Ignorado,Mayor,Camioneta,Ignorado,Amarillo,2005,2000-2009,Colisión
1104,2023,3,18,18:00 a 23:59,Noche,Febrero,Viernes,Guatemala,Guatemala,6,Hombre,39,35-39,35-39,35 - 39,Ignorado,Mayor,Pick up,Mazda,Negro,2006,2000-2009,Colisión
1105,2023,3,18,18:00 a 23:59,Noche,Febrero,Viernes,Guatemala,Guatemala,6,Hombre,33,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Yamaha,Negro,2015,2010-2019,Colisión
1106,2023,3,21,18:00 a 23:59,Noche,Febrero,Viernes,Guatemala,Guatemala,18,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Bajaj,Negro,2020,2020-2029,Colisión
1107,2023,3,21,18:00 a 23:59,Noche,Febrero,Viernes,Guatemala,Guatemala,18,Hombre,23,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,TVS Apache,Gris,2021,2020-2029,Colisión
1108,2023,3,21,18:00 a 23:59,Noche,Febrero,Viernes,Guatemala,Guatemala,10,Hombre,67,65-69,60 y más,65 - 69,Ignorado,Mayor,Automóvil,Toyota,Gris,2007,2000-2009,Colisión
1109,2023,3,21,18:00 a 23:59,Noche,Febrero,Viernes,Guatemala,Guatemala,10,Hombre,21,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Suzuki,Rojo,2021,2020-2029,Colisión
1110,2023,3,5,00:00 a 05:59,Mañana,Febrero,Viernes,Guatemala,Guatemala,13,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
1111,2023,3,5,00:00 a 05:59,Mañana,Febrero,Viernes,Guatemala,Guatemala,13,Mujer,18,15-19,15-19,15 - 19,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
1112,2023,3,6,06:00 a 11:59,Mañana,Febrero,Viernes,Guatemala,Santa Catarina Pinula,5,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Ignorado,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
1113,2023,3,6,06:00 a 11:59,Mañana,Febrero,Viernes,Guatemala,Santa Catarina Pinula,5,Hombre,27,25-29,25-29,25 - 29,Ignorado,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión
1114,2023,3,8,06:00 a 11:59,Mañana,Febrero,Viernes,Guatemala,Villa Nueva,1,Hombre,20,20-24,20-24,20 - 24,Ignorado,Mayor,Motocicleta,Honda,Rojo,2021,2020-2029,Colisión
1115,2023,3,8,06:00 a 11:59,Mañana,Febrero,Viernes,Guatemala,Villa Nueva,1,Hombre,16,15-19,15-19,15 - 19,Ignorado,Menor,Motocicleta,Movesa,Rojo,2021,2020-2029,Colisión
1116,2023,3,20,18:00 a 23:59,Noche,Febrero,Viernes,Guatemala,Mixco,6,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Automóvil,Kia,Negro,2012,2010-2019,Colisión
1117,2023,3,20,18:00 a 23:59,Noche,Febrero,Viernes,Guatemala,Mixco,6,Hombre,34,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Freedom,Negro,2016,2010-2019,Colisión
1118,2023,3,1,00:00 a 05:59,Mañana,Febrero,Viernes,Guatemala,Mixco,6,Hombre,32,30-34,30-34,30 - 34,Ignorado,Mayor,Motocicleta,Vento,Negro,2023,2020-2029,Derrape
1119,2023,3,7,06:00 a 11:59,Mañana,Febrero,Viernes,Escuintla,Escuintla,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Cabezal,Nissan,Ignorado,Ignorado,Ignorado,Colisión
1120,2023,3,7,06:00 a 11:59,Mañana,Febrero,Viernes,Escuintla,Escuintla,Ignorado,Hombre,22,20-24,20-24,20 - 24,Ignorado,Mayor,Automóvil,Mazda,Rojo,2015,2010-2019,Colisión
1121,2023,3,9,06:00 a 11:59,Mañana,Febrero,Viernes,Escuintla,Palín,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Mayor,Cabezal,Peter Bilt,Azul,Ignorado,Ignorado,Choque
1122,2023,3,2,00:00 a 05:59,Mañana,Febrero,Viernes,Santa Rosa,Cuilapa,Ignorado,Hombre,32,30-34,30-34,30 - 34,Ignorado,Mayor,Camión,Freightliner,Blanco,1999,1990-1999,Colisión
1123,2023,3,2,00:00 a 05:59,Mañana,Febrero,Viernes,Santa Rosa,Cuilapa,Ignorado,Hombre,28,25-29,25-29,25 - 29,Ignorado,Mayor,Camioneta,Toyota,Negro,2000,2000-2009,Colisión
1124,2023,3,8,06:00 a 11:59,Mañana,Febrero,Viernes,Santa Rosa,Cuilapa,Ignorado,Hombre,41,40-44,40-44,40 - 44,Ignorado,Mayor,Cuatrimoto,Bajaj,Rojo,2021,2020-2029,Colisión
1125,2023,3,8,06:00 a 11:59,Mañana,Febrero,Viernes,Santa Rosa,Cuilapa,Ignorado,Mujer,28,25-29,25-29,25 - 29,Ignorado,Mayor,Pick up,Isuzu,Azul,2016,2010-2019,Colisión
1126,2023,3,0,00:00 a 05:59,Mañana,Febrero,Viernes,Retalhuleu,Retalhuleu,Ignorado,Hombre,50,50-54,50-54,50 - 54,Ignorado,Mayor,Camioneta,Chevrolet,Blanco,Ignorado,Ignorado,Colisión
1127,2023,3,0,00:00 a 05:59,Mañana,Febrero,Viernes,Retalhuleu,Retalhuleu,Ignorado,Hombre,15,15-19,15-19,15 - 19,Ignorado,Menor,Camioneta,Honda,Gris,Ignorado,Ignorado,Colisión
1128,2023,3,7,06:00 a 11:59,Mañana,Febrero,Viernes,Huehuetenango,Huehuetenango,Ignorado,Hombre,54,50-54,50-54,50 - 54,Ignorado,Mayor,Camión,Hino,Blanco,2001,2000-2009,Colisión
