num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
99,2021,5,20,4,3,1,2,6,608,99,99,1,23,3,3,5,9,1,4,999,99,9999,99,1
100,2021,5,16,3,2,1,2,9,902,99,99,1,33,5,5,7,9,1,12,28,7,9999,99,1
101,2021,5,16,3,2,1,2,9,902,99,99,1,26,4,4,6,9,1,1,28,5,9999,99,1
102,2021,5,17,3,2,1,2,2,204,99,99,1,41,7,7,9,9,1,1,28,4,9999,99,1
103,2021,5,17,3,2,1,2,2,204,99,99,1,45,8,8,10,9,1,4,67,4,2012,5,1
104,2021,5,9,2,1,1,2,4,412,99,99,1,49,8,8,10,9,1,6,30,6,1989,2,1
105,2021,5,9,2,1,1,2,4,412,99,99,1,42,7,7,9,9,1,4,64,5,2020,6,1
106,2021,6,8,2,1,1,3,10,1010,99,99,1,28,4,4,6,9,1,4,6,3,9999,99,1
107,2021,6,8,2,1,1,3,10,1010,99,99,1,999,16,12,18,9,9,1,999,99,9999,99,1
108,2021,6,21,4,3,1,3,9,920,99,99,1,19,2,2,4,9,1,1,999,2,2012,5,1
109,2021,6,21,4,3,1,3,9,920,99,99,1,27,4,4,6,9,1,4,6,3,2015,5,1
110,2021,6,21,4,3,1,3,9,914,99,99,1,21,3,3,5,9,1,4,27,4,9999,99,2
111,2021,6,20,4,3,1,3,1,101,1,1,1,32,5,5,7,9,1,4,67,5,2016,5,1
112,2021,6,20,4,3,1,3,1,101,1,1,2,25,4,4,6,9,1,4,3,5,2019,5,1
113,2021,6,20,4,3,1,3,1,101,12,12,1,33,5,5,7,9,1,1,69,6,2005,4,1
114,2021,6,20,4,3,1,3,1,101,12,12,1,26,4,4,6,9,1,4,46,1,2018,5,1
115,2021,6,16,3,2,1,3,1,115,12,99,1,25,4,4,6,9,1,4,3,5,9999,99,1
116,2021,6,16,3,2,1,3,1,115,12,99,1,23,3,3,5,9,1,1,69,4,2015,5,1
117,2021,6,21,4,3,1,3,1,114,99,99,1,33,5,5,7,9,1,4,6,5,2013,5,1
118,2021,6,21,4,3,1,3,1,114,99,99,1,29,4,4,6,9,1,4,54,1,2018,5,1
119,2021,6,0,1,1,1,3,9,901,1,99,1,28,4,4,6,2,1,1,48,1,9999,99,1
120,2021,6,0,1,1,1,3,9,901,1,99,1,37,6,6,8,1,1,2,69,9,9999,99,1
121,2021,6,13,3,2,1,3,12,1202,99,99,1,18,2,2,4,9,1,2,48,11,9999,99,2
122,2021,6,23,4,3,1,3,1,117,7,99,1,24,3,3,5,9,1,4,999,99,9999,99,1
123,2021,6,23,4,3,1,3,1,117,7,99,9,999,16,12,18,9,9,4,999,99,9999,99,1
124,2021,6,21,4,3,1,3,18,1802,99,99,1,35,6,6,8,9,1,4,76,99,9999,99,2
125,2021,7,9,2,1,1,4,1,107,99,99,1,27,4,4,6,9,1,1,52,6,9999,99,1
126,2021,7,9,2,1,1,4,1,107,99,99,1,43,7,7,9,9,1,5,31,2,9999,99,1
127,2021,7,18,4,3,1,4,1,102,99,99,1,49,8,8,10,1,1,2,34,99,9999,99,1
128,2021,7,18,4,3,1,4,1,102,99,99,1,25,4,4,6,9,1,4,3,4,9999,99,1
129,2021,7,21,4,3,1,4,1,101,11,11,1,999,16,12,18,9,9,5,999,2,9999,99,1
130,2021,7,21,4,3,1,4,1,101,11,11,1,28,4,4,6,9,1,4,54,1,9999,99,1
131,2021,7,1,1,1,1,4,1,101,7,7,1,33,5,5,7,9,1,4,6,3,2016,5,2
132,2021,7,11,2,1,1,4,1,117,7,99,1,999,16,12,18,9,9,4,6,3,9999,99,1
133,2021,7,11,2,1,1,4,1,117,7,99,1,59,10,10,12,9,1,1,56,4,9999,99,1
134,2021,7,11,2,1,1,4,1,115,5,99,1,43,7,7,9,9,1,6,999,2,1984,2,1
135,2021,7,11,2,1,1,4,1,115,5,99,1,999,16,12,18,9,9,4,999,99,9999,99,1
136,2021,7,19,4,3,1,4,1,115,1,99,1,41,7,7,9,9,1,4,6,5,9999,99,6
137,2021,7,8,2,1,1,4,1,108,6,99,1,999,16,12,18,9,9,4,67,3,9999,99,6
138,2021,7,11,2,1,1,4,1,115,8,99,1,12,1,1,3,9,2,4,999,99,9999,99,6
139,2021,7,23,4,3,1,4,1,108,6,99,1,29,4,4,6,1,1,3,999,5,9999,99,1
140,2021,7,23,4,3,1,4,1,108,6,99,1,999,16,12,18,9,9,4,67,5,9999,99,1
141,2021,7,20,4,3,1,4,21,2101,99,99,2,32,5,5,7,9,1,2,27,2,2007,4,1
142,2021,7,20,4,3,1,4,21,2101,99,99,1,41,7,7,9,9,1,4,27,5,2005,4,1
143,2021,7,8,2,1,1,4,20,2001,99,99,1,30,5,5,7,9,1,3,999,99,9999,99,1
144,2021,7,8,2,1,1,4,20,2001,99,99,1,35,6,6,8,9,1,4,76,5,9999,99,1
145,2021,7,19,4,3,1,4,19,1903,99,99,1,49,8,8,10,9,1,3,69,10,9999,99,1
146,2021,7,19,4,3,1,4,19,1903,99,99,1,33,5,5,7,9,1,2,69,2,2013,5,1
147,2021,7,13,3,2,1,4,5,504,99,99,1,34,5,5,7,9,1,1,27,1,2009,4,1
148,2021,7,13,3,2,1,4,5,504,99,99,1,37,6,6,8,9,1,14,6,1,9999,99,1
149,2021,7,0,1,1,1,4,6,613,99,99,1,23,3,3,5,9,1,1,28,4,2008,4,3
150,2021,7,14,3,2,1,4,9,917,99,99,1,27,4,4,6,9,1,5,30,2,1995,3,1
151,2021,7,14,3,2,1,4,9,917,99,99,1,999,16,12,18,9,9,4,27,5,9999,99,1
152,2021,7,14,3,2,1,4,9,917,99,99,1,999,16,12,18,9,9,4,999,2,9999,99,1
153,2021,7,21,4,3,1,4,16,1612,99,99,1,38,6,6,8,9,1,2,69,6,1995,3,1
154,2021,7,21,4,3,1,4,16,1612,99,99,1,41,7,7,9,9,1,4,999,99,9999,99,1
155,2021,7,16,3,2,1,4,15,1507,99,99,2,23,3,3,5,9,1,4,999,99,9999,99,1
156,2021,7,16,3,2,1,4,15,1507,99,99,2,25,4,4,6,9,1,4,999,99,9999,99,1
157,2021,7,20,4,3,1,4,15,1501,99,99,1,999,16,12,18,9,9,5,50,99,9999,99,2
158,2021,7,20,4,3,1,4,14,1401,99,99,1,56,10,10,12,1,1,3,69,3,1983,2,1
159,2021,7,20,4,3,1,4,14,1401,99,99,1,44,7,7,9,2,1,9,69,99,9999,99,1
160,2021,7,20,4,3,1,4,14,1401,99,99,1,999,16,12,18,9,9,2,27,4,9999,99,1
161,2021,8,15,3,2,1,5,1,105,99,99,1,27,4,4,6,2,1,3,69,8,1990,3,1
162,2021,8,15,3,2,1,5,1,105,99,99,1,29,4,4,6,1,1,4,67,5,9999,99,1
163,2021,8,23,4,3,1,5,1,101,12,12,1,21,3,3,5,9,1,4,32,5,2011,5,1
164,2021,8,8,2,1,1,5,1,108,6,99,1,39,6,6,8,9,1,4,999,99,9999,99,6
165,2021,8,15,3,2,1,5,22,2208,99,99,1,24,3,3,5,9,1,4,67,5,2018,5,1
166,2021,8,15,3,2,1,5,22,2208,99,99,1,23,3,3,5,9,1,14,6,1,9999,99,1
167,2021,8,8,2,1,1,5,19,1903,99,99,1,30,5,5,7,9,1,4,76,5,2014,5,1
168,2021,8,8,2,1,1,5,19,1903,99,99,1,999,16,12,18,9,9,4,32,1,9999,99,1
169,2021,8,17,3,2,1,5,5,502,99,99,2,32,5,5,7,9,1,1,67,4,2017,5,1
170,2021,8,17,3,2,1,5,5,502,99,99,1,25,4,4,6,9,1,4,27,1,2018,5,1
171,2021,8,17,3,2,1,5,5,502,99,99,1,30,5,5,7,9,1,4,999,99,9999,99,6
172,2021,8,10,2,1,1,5,11,1101,1,99,1,28,4,4,6,9,1,1,8,4,2003,4,1
173,2021,8,10,2,1,1,5,11,1101,1,99,1,29,4,4,6,9,1,3,69,2,2012,5,1
174,2021,8,22,4,3,1,5,11,1102,99,99,1,18,2,2,4,9,1,4,6,1,2014,5,1
175,2021,8,22,4,3,1,5,11,1102,99,99,1,22,3,3,5,9,1,4,6,5,2018,5,1
176,2021,8,14,3,2,1,5,15,1504,99,99,1,999,16,12,18,9,9,3,69,99,9999,99,2
177,2021,8,20,4,3,1,5,17,1704,99,99,1,42,7,7,9,2,1,3,69,4,9999,99,1
178,2021,8,20,4,3,1,5,17,1704,99,99,1,26,4,4,6,9,1,2,69,2,9999,99,1
179,2021,8,14,3,2,1,5,7,705,99,99,1,40,7,7,9,9,1,2,69,2,1998,3,1
180,2021,8,14,3,2,1,5,7,705,99,99,1,44,7,7,9,9,1,3,56,2,2012,5,1
181,2021,8,23,4,3,1,5,4,407,6,99,1,44,7,7,9,9,1,1,52,9,2003,4,1
182,2021,8,23,4,3,1,5,4,407,6,99,1,22,3,3,5,9,1,4,27,7,9999,99,1
183,2021,8,12,3,2,1,5,4,401,99,99,1,47,8,8,10,9,1,4,999,99,9999,99,1
184,2021,8,12,3,2,1,5,4,401,99,99,1,20,3,3,5,9,1,4,999,99,9999,99,1
185,2021,8,19,4,3,1,5,3,303,99,99,1,47,8,8,10,1,1,6,19,1,2000,4,1
186,2021,8,19,4,3,1,5,3,303,99,99,1,40,7,7,9,1,1,1,41,5,2007,4,1
187,2021,9,12,3,2,1,6,1,108,1,99,1,45,8,8,10,9,1,1,74,3,9999,99,6
188,2021,9,11,2,1,1,6,10,1003,99,99,1,54,9,9,11,9,1,13,17,3,9999,99,1
189,2021,9,11,2,1,1,6,10,1003,99,99,1,39,6,6,8,9,1,4,25,5,9999,99,1
190,2021,9,13,3,2,1,6,10,1021,99,99,1,70,13,11,15,9,1,3,69,11,1985,2,1
191,2021,9,13,3,2,1,6,10,1021,99,99,1,25,4,4,6,9,1,4,27,5,2021,6,1
192,2021,9,18,4,3,1,6,10,1001,1,99,1,26,4,4,6,9,1,4,18,4,9999,99,1
193,2021,9,18,4,3,1,6,10,1001,1,99,1,56,10,10,12,9,1,4,67,3,9999,99,1
194,2021,9,1,1,1,1,6,5,501,99,99,1,47,8,8,10,9,1,1,52,2,2005,4,1
195,2021,9,1,1,1,1,6,5,501,99,99,1,22,3,3,5,9,1,4,32,1,2016,5,1
196,2021,9,14,3,2,1,6,5,501,3,99,1,56,10,10,12,2,1,3,69,1,9999,99,1
197,2021,9,14,3,2,1,6,5,501,3,99,9,999,16,12,18,9,9,4,999,99,9999,99,1
198,2021,9,16,3,2,1,6,5,509,99,99,1,55,10,10,12,9,1,22,59,2,9999,99,6
199,2021,9,15,3,2,1,6,19,1906,99,99,1,16,2,2,4,9,2,4,18,1,2018,5,2
200,2021,9,2,1,1,1,6,1,108,4,99,1,47,8,8,10,9,1,3,69,2,2017,5,1
201,2021,9,21,4,3,1,6,5,505,99,99,1,999,16,12,18,1,9,99,999,99,9999,99,1
202,2021,9,21,4,3,1,6,5,505,99,99,1,999,16,12,18,1,9,99,999,99,9999,99,1
203,2021,9,20,4,3,1,6,12,1218,99,99,1,52,9,9,11,1,1,4,999,99,9999,99,1
204,2021,9,20,4,3,1,6,12,1218,99,99,1,36,6,6,8,1,1,1,999,99,9999,99,1
205,2021,9,16,3,2,1,6,22,2207,99,99,1,22,3,3,5,1,1,4,38,5,9999,99,1
206,2021,9,0,1,1,1,6,13,1301,1,99,1,22,3,3,5,1,1,99,69,99,9999,99,1
207,2021,9,0,1,1,1,6,13,1301,1,99,1,35,6,6,8,1,1,4,999,99,9999,99,1
208,2021,9,8,2,1,1,6,16,1601,1,99,1,64,11,11,13,1,1,9,69,2,2008,4,1
209,2021,9,8,2,1,1,6,16,1601,1,99,1,42,7,7,9,1,1,4,18,99,9999,99,1
210,2021,9,14,3,2,1,6,4,401,99,99,1,19,2,2,4,1,1,12,30,2,9999,99,1
211,2021,9,14,3,2,1,6,4,401,99,99,2,23,3,3,5,1,1,1,52,5,2003,4,1
212,2021,9,3,1,1,1,6,3,301,99,99,2,52,9,9,11,1,1,1,52,3,2003,4,1
213,2021,9,3,1,1,1,6,3,301,99,99,1,24,3,3,5,1,1,4,18,6,2003,4,1
214,2021,9,20,4,3,1,6,3,308,99,99,1,44,7,7,9,1,1,1,48,4,9999,99,1
215,2021,9,20,4,3,1,6,3,308,99,99,1,999,16,12,18,1,9,4,999,99,9999,99,1
216,2021,9,23,4,3,1,6,3,314,99,99,1,25,4,4,6,9,1,4,3,3,2020,6,1
217,2021,9,23,4,3,1,6,3,314,99,99,1,48,8,8,10,9,1,4,999,99,9999,99,1
218,2021,9,19,4,3,1,6,6,603,99,99,1,50,9,9,11,1,1,3,69,3,9999,99,1
219,2021,9,19,4,3,1,6,6,603,99,99,1,25,4,4,6,1,1,4,27,9,9999,99,1
220,2021,9,20,4,3,1,6,1,101,11,11,2,23,3,3,5,1,1,4,27,9,9999,99,6
221,2021,9,23,4,3,1,6,21,2101,99,99,1,23,3,3,5,1,1,4,32,1,9999,99,6
222,2021,9,23,4,3,1,6,17,1701,99,99,1,22,3,3,5,1,1,4,32,1,9999,99,6
223,2021,9,23,4,3,1,6,5,504,99,99,1,23,3,3,5,1,1,1,27,4,9999,99,2
224,2021,9,23,4,3,1,6,21,2101,99,99,1,27,4,4,6,9,1,4,32,1,9999,99,1
225,2021,9,23,4,3,1,6,21,2101,99,99,9,999,16,12,18,9,9,1,999,3,9999,99,1
226,2021,10,16,3,2,1,7,1,101,18,18,1,34,5,5,7,1,1,4,2,1,2021,6,1
227,2021,10,16,3,2,1,7,1,101,18,18,1,23,3,3,5,1,1,4,6,5,2011,5,1
228,2021,10,16,3,2,1,7,1,101,18,18,9,999,16,12,18,9,9,1,999,99,9999,99,1
229,2021,10,16,3,2,1,7,1,101,18,18,2,32,5,5,7,9,1,4,999,99,9999,99,1
230,2021,10,2,1,1,1,7,1,105,99,99,1,21,3,3,5,9,1,4,999,99,9999,99,6
231,2021,10,23,4,3,1,7,1,101,12,12,1,33,5,5,7,2,1,1,10,2,2008,4,2
232,2021,10,22,4,3,1,7,1,115,12,99,1,20,3,3,5,9,1,4,32,1,2020,6,6
233,2021,10,21,4,3,1,7,1,115,10,99,1,21,3,3,5,9,1,4,27,99,2017,5,1
234,2021,10,21,4,3,1,7,1,115,10,99,1,42,7,7,9,9,1,1,28,4,2017,5,1
235,2021,10,21,4,3,1,7,1,108,4,99,1,32,5,5,7,1,1,1,27,1,9999,99,1
236,2021,10,21,4,3,1,7,1,108,4,99,1,999,16,12,18,9,9,4,27,5,2018,5,1
237,2021,10,2,1,1,1,7,22,2201,99,99,1,29,4,4,6,2,1,1,69,11,9999,99,2
238,2021,10,19,4,3,1,7,21,2101,99,99,1,999,16,12,18,9,9,4,64,5,2018,5,6
239,2021,10,21,4,3,1,7,20,2001,99,99,1,27,4,4,6,1,1,2,999,99,9999,99,1
240,2021,10,21,4,3,1,7,20,2001,99,99,1,26,4,4,6,2,1,4,32,1,9999,99,1
241,2021,10,11,2,1,1,7,20,2001,99,99,1,24,3,3,5,9,1,4,67,1,9999,99,1
242,2021,10,11,2,1,1,7,20,2001,99,99,1,62,11,11,13,1,1,3,69,1,9999,99,1
243,2021,10,23,4,3,1,7,20,2002,99,99,1,37,6,6,8,9,1,2,69,99,9999,99,1
244,2021,10,23,4,3,1,7,20,2002,99,99,1,57,10,10,12,9,1,3,17,2,9999,99,1
245,2021,10,7,2,1,1,7,5,512,99,99,1,999,16,12,18,9,9,7,19,7,2002,4,3
246,2021,10,17,3,2,1,7,10,1008,99,99,1,26,4,4,6,2,1,14,6,1,2014,5,2
247,2021,10,0,1,1,1,7,9,902,1,99,1,33,5,5,7,2,1,1,999,99,9999,99,2
248,2021,10,19,4,3,1,7,12,1201,5,99,9,999,16,12,18,9,9,1,999,99,9999,99,1
249,2021,10,19,4,3,1,7,12,1201,5,99,1,30,5,5,7,9,1,4,53,3,9999,99,1
250,2021,10,21,4,3,1,7,16,1609,99,99,1,30,5,5,7,2,1,1,52,5,9999,99,2
251,2021,10,7,2,1,1,7,15,1504,99,99,1,19,2,2,4,9,1,4,76,3,9999,99,1
252,2021,10,7,2,1,1,7,15,1504,99,99,1,29,4,4,6,9,1,4,999,99,9999,99,1
253,2021,10,18,4,3,1,7,2,208,99,99,1,25,4,4,6,2,1,3,56,9,9999,99,3
254,2021,10,8,2,1,1,7,18,1801,99,99,1,35,6,6,8,9,1,1,69,11,2021,6,1
255,2021,10,8,2,1,1,7,18,1801,99,99,1,29,4,4,6,9,1,2,69,4,2001,4,1
256,2021,10,16,3,2,1,7,3,301,99,99,1,27,4,4,6,2,1,4,32,5,2019,5,6
257,2021,10,20,4,3,1,7,6,609,99,99,9,999,16,12,18,9,9,3,999,99,9999,99,1
258,2021,10,20,4,3,1,7,6,609,99,99,1,20,3,3,5,9,1,4,999,99,9999,99,1
259,2021,11,17,3,2,1,1,1,103,99,99,1,44,7,7,9,1,1,1,27,1,1991,3,1
260,2021,11,17,3,2,1,1,1,103,99,99,1,38,6,6,8,9,1,4,6,1,2015,5,1
