num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
56,2021,3,8,2,1,1,7,4,409,99,99,1,20,3,3,5,1,4,45,5,2006,4,2,1,2
57,2021,3,8,2,1,1,7,4,409,99,99,1,17,2,2,4,2,4,45,5,2006,4,2,1,2
58,2021,4,19,4,3,1,1,1,101,18,18,1,72,13,11,15,1,4,27,5,2006,4,1,2,1
59,2021,4,10,2,1,1,1,1,101,18,18,1,18,2,2,4,1,4,999,99,9999,99,1,2,1
60,2021,4,20,4,3,1,1,1,103,99,99,1,19,2,2,4,1,4,3,1,2014,5,1,2,1
61,2021,4,21,4,3,1,1,1,108,5,99,1,43,7,7,9,1,4,6,1,2014,5,1,2,1
62,2021,4,16,3,2,1,1,12,1202,99,99,1,40,7,7,9,1,1,69,99,9999,99,1,2,1
63,2021,4,11,2,1,1,1,14,1414,99,99,2,999,16,12,18,9,3,69,3,1994,3,7,1,2
64,2021,4,11,2,1,1,1,14,1414,99,99,2,38,6,6,8,1,3,69,3,1994,3,7,1,2
65,2021,4,11,2,1,1,1,14,1414,99,99,2,999,16,12,18,9,3,69,3,1994,3,7,2,1
66,2021,4,11,2,1,1,1,14,1414,99,99,2,999,16,12,18,9,3,69,3,1994,3,7,2,1
67,2021,4,11,2,1,1,1,14,1414,99,99,2,999,16,12,18,9,3,69,3,1994,3,7,2,1
68,2021,4,11,2,1,1,1,14,1414,99,99,1,999,16,12,18,9,3,69,3,1994,3,7,2,1
69,2021,4,11,2,1,1,1,14,1414,99,99,1,999,16,12,18,9,3,69,3,1994,3,7,2,1
70,2021,4,11,2,1,1,1,14,1414,99,99,1,999,16,12,18,9,3,69,3,1994,3,7,2,1
71,2021,4,11,2,1,1,1,14,1414,99,99,1,999,16,12,18,9,3,69,3,1994,3,7,2,1
72,2021,4,11,2,1,1,1,14,1414,99,99,2,999,16,12,18,9,3,69,3,1994,3,7,2,1
73,2021,4,11,2,1,1,1,14,1414,99,99,1,999,16,12,18,9,3,69,3,1994,3,7,2,1
74,2021,4,11,2,1,1,1,14,1414,99,99,1,999,16,12,18,9,3,69,3,1994,3,7,2,1
75,2021,4,11,2,1,1,1,14,1414,99,99,1,999,16,12,18,9,3,69,3,1994,3,7,2,1
76,2021,4,11,2,1,1,1,14,1414,99,99,1,999,16,12,18,9,3,69,3,1994,3,7,2,1
77,2021,4,11,2,1,1,1,14,1414,99,99,2,999,16,12,18,9,3,69,3,1994,3,7,2,1
78,2021,4,11,2,1,1,1,14,1414,99,99,2,999,16,12,18,9,3,69,3,1994,3,7,2,1
79,2021,4,11,2,1,1,1,14,1414,99,99,1,999,16,12,18,9,3,69,3,1994,3,7,2,1
80,2021,4,11,2,1,1,1,14,1414,99,99,2,999,16,12,18,9,3,69,3,1994,3,7,2,1
81,2021,4,11,2,1,1,1,14,1414,99,99,2,999,16,12,18,9,3,69,3,1994,3,7,2,1
82,2021,4,17,3,2,1,1,7,706,99,99,1,999,16,12,18,9,2,999,11,9999,99,7,2,1
83,2021,5,17,3,2,1,2,1,102,99,99,1,31,5,5,7,1,4,27,1,2017,5,1,1,2
84,2021,5,17,3,2,1,2,1,115,99,99,1,28,4,4,6,1,4,100,5,9999,99,1,2,1
85,2021,5,21,4,3,1,2,1,115,3,99,1,21,3,3,5,1,4,6,2,9999,99,1,2,1
86,2021,5,21,4,3,1,2,1,115,3,99,1,21,3,3,5,1,4,6,2,9999,99,1,2,1
87,2021,5,21,4,3,1,2,1,115,3,99,1,21,3,3,5,1,4,6,2,9999,99,1,2,1
88,2021,5,13,3,2,1,2,20,2003,99,99,1,25,4,4,6,1,5,52,2,2001,4,2,1,2
89,2021,5,22,4,3,1,2,6,612,99,99,2,12,1,1,3,2,3,69,4,9999,99,3,1,2
90,2021,5,20,4,3,1,2,6,608,99,99,1,23,3,3,5,1,4,999,99,9999,99,1,2,1
91,2021,5,20,4,3,1,2,6,608,99,99,1,25,4,4,6,1,4,999,99,9999,99,1,2,1
92,2021,5,20,4,3,1,2,6,608,99,99,1,19,2,2,4,1,4,999,99,9999,99,1,2,1
93,2021,5,16,3,2,1,2,9,902,99,99,1,42,7,7,9,1,1,28,5,9999,99,1,2,1
94,2021,5,17,3,2,1,2,2,204,99,99,1,45,8,8,10,1,4,67,4,2012,5,1,2,1
95,2021,5,9,2,1,1,2,4,412,99,99,1,42,7,7,9,1,4,64,5,2020,6,1,2,1
96,2021,6,8,2,1,1,3,10,1010,99,99,1,28,4,4,6,1,4,6,3,9999,99,1,1,2
97,2021,6,21,4,3,1,3,9,920,99,99,1,27,4,4,6,1,4,6,3,2015,5,1,2,1
98,2021,6,21,4,3,1,3,9,914,99,99,1,21,3,3,5,1,4,27,4,9999,99,2,1,2
