num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
81,2021,7,11,2,1,1,4,1,115,8,99,4,999,99,9999,99,6
82,2021,7,23,4,3,1,4,1,108,6,99,3,999,5,9999,99,1
83,2021,7,20,4,3,1,4,21,2101,99,99,2,27,2,2007,4,1
84,2021,7,8,2,1,1,4,20,2001,99,99,3,999,99,9999,99,1
85,2021,7,19,4,3,1,4,19,1903,99,99,3,69,10,9999,99,1
86,2021,7,13,3,2,1,4,5,504,99,99,1,27,1,2009,4,1
87,2021,7,0,1,1,1,4,6,613,99,99,1,28,4,2008,4,3
88,2021,7,14,3,2,1,4,9,917,99,99,5,30,2,1995,3,1
89,2021,7,21,4,3,1,4,16,1612,99,99,2,69,6,1995,3,1
90,2021,7,16,3,2,1,4,15,1507,99,99,4,999,99,9999,99,1
91,2021,7,20,4,3,1,4,15,1501,99,99,5,50,99,9999,99,2
92,2021,7,20,4,3,1,4,14,1401,99,99,3,69,3,1983,2,1
93,2021,8,15,3,2,1,5,1,105,99,99,3,69,8,1990,3,1
94,2021,8,23,4,3,1,5,1,101,12,12,4,32,5,2011,5,1
95,2021,8,8,2,1,1,5,1,108,6,99,4,999,99,9999,99,6
96,2021,8,15,3,2,1,5,22,2208,99,99,4,67,5,2018,5,1
97,2021,8,8,2,1,1,5,19,1903,99,99,4,76,5,2014,5,1
98,2021,8,17,3,2,1,5,5,502,99,99,1,67,4,2017,5,1
99,2021,8,17,3,2,1,5,5,502,99,99,4,999,99,9999,99,6
100,2021,8,10,2,1,1,5,11,1101,1,99,1,8,4,2003,4,1
101,2021,8,22,4,3,1,5,11,1102,99,99,4,6,1,2014,5,1
102,2021,8,14,3,2,1,5,15,1504,99,99,3,69,99,9999,99,2
103,2021,8,20,4,3,1,5,17,1704,99,99,3,69,4,9999,99,1
104,2021,8,14,3,2,1,5,7,705,99,99,2,69,2,1998,3,1
105,2021,8,23,4,3,1,5,4,407,6,99,1,52,9,2003,4,1
106,2021,8,12,3,2,1,5,4,401,99,99,4,999,99,9999,99,1
107,2021,8,19,4,3,1,5,3,303,99,99,6,19,1,2000,4,1
108,2021,9,12,3,2,1,6,1,108,1,99,1,74,3,9999,99,6
109,2021,9,11,2,1,1,6,10,1003,99,99,13,17,3,9999,99,1
110,2021,9,13,3,2,1,6,10,1021,99,99,3,69,11,1985,2,1
111,2021,9,18,4,3,1,6,10,1001,1,99,4,18,4,9999,99,1
112,2021,9,1,1,1,1,6,5,501,99,99,1,52,2,2005,4,1
113,2021,9,14,3,2,1,6,5,501,3,99,3,69,1,9999,99,1
114,2021,9,16,3,2,1,6,5,509,99,99,22,59,2,9999,99,6
115,2021,9,15,3,2,1,6,19,1906,99,99,4,18,1,2018,5,2
116,2021,9,2,1,1,1,6,1,108,4,99,3,69,2,2017,5,1
117,2021,9,21,4,3,1,6,5,505,99,99,99,999,99,9999,99,1
118,2021,9,20,4,3,1,6,12,1218,99,99,4,999,99,9999,99,1
119,2021,9,16,3,2,1,6,22,2207,99,99,4,38,5,9999,99,1
120,2021,9,0,1,1,1,6,13,1301,1,99,99,69,99,9999,99,1
121,2021,9,8,2,1,1,6,16,1601,1,99,9,69,2,2008,4,1
122,2021,9,14,3,2,1,6,4,401,99,99,12,30,2,9999,99,1
123,2021,9,3,1,1,1,6,3,301,99,99,1,52,3,2003,4,1
124,2021,9,20,4,3,1,6,3,308,99,99,1,48,4,9999,99,1
125,2021,9,23,4,3,1,6,3,314,99,99,4,3,3,2020,6,1
126,2021,9,19,4,3,1,6,6,603,99,99,3,69,3,9999,99,1
127,2021,9,20,4,3,1,6,1,101,11,11,4,27,9,9999,99,6
128,2021,9,23,4,3,1,6,21,2101,99,99,4,32,1,9999,99,6
129,2021,9,23,4,3,1,6,17,1701,99,99,4,32,1,9999,99,6
130,2021,9,23,4,3,1,6,5,504,99,99,1,27,4,9999,99,2
131,2021,9,23,4,3,1,6,21,2101,99,99,4,32,1,9999,99,1
132,2021,10,16,3,2,1,7,1,101,18,18,4,2,1,2021,6,1
133,2021,10,16,3,2,1,7,1,101,18,18,1,999,99,9999,99,1
134,2021,10,2,1,1,1,7,1,105,99,99,4,999,99,9999,99,6
135,2021,10,23,4,3,1,7,1,101,12,12,1,10,2,2008,4,2
136,2021,10,22,4,3,1,7,1,115,12,99,4,32,1,2020,6,6
