num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
1560,2021,15,17,3,2,3,1,1,101,3,3,5,999,2,2021,6,1
1561,2021,15,22,4,3,3,1,1,101,3,3,4,6,5,2018,5,6
1562,2021,15,21,4,3,3,1,1,101,13,13,2,999,4,9999,99,1
1563,2021,15,4,1,1,3,1,1,116,99,99,3,56,2,9999,99,1
1564,2021,15,16,3,2,3,1,1,101,19,19,1,69,4,2010,5,1
1565,2021,15,2,1,1,3,1,19,1906,99,99,2,31,99,9999,99,2
1566,2021,15,20,4,3,3,1,5,502,99,99,4,67,3,9999,99,1
1567,2021,15,18,4,3,3,1,5,505,99,99,3,56,4,2021,6,1
1568,2021,15,19,4,3,3,1,5,502,1,99,2,69,9,1993,3,1
1569,2021,15,17,3,2,3,1,9,920,99,99,6,19,7,1997,3,1
1570,2021,15,23,4,3,3,1,18,1801,99,99,4,32,5,9999,99,1
1571,2021,15,14,3,2,3,1,17,1705,99,99,14,6,1,9999,99,1
1572,2021,15,11,2,1,3,1,7,712,99,99,5,999,99,9999,99,1
1573,2021,15,2,1,1,3,1,3,301,99,99,4,999,3,9999,99,2
1574,2021,16,10,2,1,3,2,1,101,1,1,1,48,11,2000,4,1
1575,2021,16,6,2,1,3,2,1,106,99,99,4,100,5,2018,5,1
1576,2021,16,21,4,3,3,2,1,101,12,12,4,999,99,9999,99,1
1577,2021,16,8,2,1,3,2,1,101,7,7,1,28,2,2015,5,1
1578,2021,16,20,4,3,3,2,1,116,99,99,4,999,99,9999,99,1
1579,2021,16,22,4,3,3,2,1,108,1,99,4,999,99,9999,99,1
1580,2021,16,13,3,2,3,2,10,1013,99,99,3,31,1,1986,2,1
1581,2021,16,15,3,2,3,2,10,1014,99,99,5,26,2,1990,3,1
1582,2021,16,12,3,2,3,2,11,1109,99,99,6,19,2,9999,99,1
1583,2021,16,19,4,3,3,2,16,1601,99,99,3,69,5,9999,99,1
1584,2021,16,11,2,1,3,2,14,1401,5,99,2,27,9,2006,4,1
1585,2021,16,20,4,3,3,2,14,1401,3,99,3,999,6,9999,99,1
1586,2021,16,18,4,3,3,2,3,301,99,99,4,32,3,9999,99,1
1587,2021,17,12,3,2,3,3,1,101,11,11,2,69,3,9999,99,1
1588,2021,17,9,2,1,3,3,5,513,99,99,4,6,5,9999,99,1
1589,2021,17,11,2,1,3,3,6,602,99,99,3,48,4,9999,99,1
1590,2021,17,11,2,1,3,3,6,613,99,99,5,74,2,2001,4,1
1591,2021,17,9,2,1,3,3,12,1221,99,99,22,6,1,2020,6,1
1592,2021,17,13,3,2,3,3,16,1613,99,99,4,67,4,9999,99,6
1593,2021,17,6,2,1,3,3,4,406,99,99,9,999,3,9999,99,1
1594,2021,18,18,4,3,3,4,1,101,11,11,3,69,4,9999,99,1
1595,2021,18,17,3,2,3,4,1,116,7,99,4,3,3,9999,99,1
1596,2021,18,22,4,3,3,4,1,117,7,99,3,52,4,9999,99,1
1597,2021,18,21,4,3,3,4,1,116,99,99,4,999,99,9999,99,6
1598,2021,18,21,4,3,3,4,22,2203,99,99,1,69,99,2009,4,2
1599,2021,18,1,1,1,3,4,20,2001,99,99,4,67,5,9999,99,1
1600,2021,18,11,2,1,3,4,20,2001,99,99,3,999,1,9999,99,7
1601,2021,18,20,4,3,3,4,5,502,99,99,2,27,1,2016,5,1
1602,2021,18,20,4,3,3,4,5,511,99,99,9,69,10,9999,99,1
1603,2021,18,9,2,1,3,4,5,501,99,99,4,67,5,9999,99,1
1604,2021,18,19,4,3,3,4,5,504,99,99,4,27,1,9999,99,6
1605,2021,18,19,4,3,3,4,6,603,99,99,5,999,99,9999,99,3
1606,2021,18,22,4,3,3,4,12,1215,99,99,3,69,4,1994,3,1
1607,2021,18,20,4,3,3,4,18,1804,99,99,3,69,6,1992,3,1
1608,2021,18,13,3,2,3,4,17,1701,2,99,3,69,4,9999,99,1
1609,2021,18,1,1,1,3,4,4,401,99,99,2,27,6,2002,4,1
1610,2021,19,23,4,3,3,5,1,101,1,1,1,999,99,9999,99,1
1611,2021,19,12,3,2,3,5,1,101,18,18,4,999,99,9999,99,1
1612,2021,19,21,4,3,3,5,1,101,18,18,3,69,1,1999,3,1
1613,2021,19,0,1,1,3,5,1,113,99,99,1,27,4,9999,99,3
1614,2021,19,7,2,1,3,5,1,101,15,15,4,27,5,9999,99,6
1615,2021,19,21,4,3,3,5,1,101,12,12,4,103,3,2018,5,1
1616,2021,19,1,1,1,3,5,1,115,5,99,4,999,99,9999,99,1
1617,2021,19,19,4,3,3,5,1,115,1,99,1,999,4,9999,99,1
1618,2021,19,21,4,3,3,5,1,115,5,99,1,48,5,9999,99,1
1619,2021,19,16,3,2,3,5,1,108,4,99,4,67,1,2011,5,1
1620,2021,19,10,2,1,3,5,21,2101,1,99,3,69,4,1995,3,1
1621,2021,19,20,4,3,3,5,5,501,99,99,3,999,99,9999,99,1
1622,2021,19,0,1,1,3,5,6,602,99,99,9,48,4,2005,4,1
1623,2021,19,13,3,2,3,5,10,1010,99,99,3,69,4,9999,99,1
1624,2021,19,18,4,3,3,5,13,1301,1,99,1,28,5,2011,5,2
1625,2021,19,0,1,1,3,5,14,1401,99,99,1,28,8,2018,5,1
1626,2021,19,14,3,2,3,5,3,301,99,99,5,31,6,1997,3,1
1627,2021,20,15,3,2,3,6,1,101,8,8,4,6,3,2015,5,1
1628,2021,20,17,3,2,3,6,1,101,18,18,4,2,4,2021,6,6
1629,2021,20,16,3,2,3,6,1,101,18,18,3,52,4,9999,99,1
1630,2021,20,20,4,3,3,6,1,101,6,6,4,999,99,9999,99,2
1631,2021,20,20,4,3,3,6,1,105,99,99,4,64,3,2019,5,6
1632,2021,20,9,2,1,3,6,1,101,7,7,1,52,9,2015,5,1
1633,2021,20,15,3,2,3,6,1,115,4,99,1,69,4,2014,5,1
1634,2021,20,20,4,3,3,6,1,117,4,99,4,2,99,2018,5,1
1635,2021,20,23,4,3,3,6,1,115,1,99,1,17,6,1995,3,1
1636,2021,20,5,1,1,3,6,1,108,6,99,4,999,99,9999,99,6
1637,2021,20,14,3,2,3,6,1,111,99,99,4,6,3,9999,99,1
1638,2021,20,18,4,3,3,6,1,108,4,99,4,67,5,9999,99,6
1639,2021,20,19,4,3,3,6,1,108,2,99,4,6,1,9999,99,1
1640,2021,20,17,3,2,3,6,22,2206,99,99,2,69,99,9999,99,1
1641,2021,20,17,3,2,3,6,22,2205,99,99,4,76,5,9999,99,1
1642,2021,20,15,3,2,3,6,5,509,99,99,2,69,4,9999,99,1
1643,2021,20,10,2,1,3,6,5,506,99,99,3,48,4,9999,99,1
1644,2021,20,17,3,2,3,6,5,511,99,99,4,2,3,9999,99,1
1645,2021,20,23,4,3,3,6,6,614,1,99,4,54,5,9999,99,1
1646,2021,20,20,4,3,3,6,6,602,99,99,4,999,99,9999,99,1
1647,2021,20,21,4,3,3,6,10,1008,99,99,4,67,4,9999,99,1
1648,2021,20,21,4,3,3,6,9,901,7,99,3,56,2,1990,3,1
1649,2021,20,19,4,3,3,6,13,1312,99,99,2,69,2,9999,99,1
1650,2021,20,21,4,3,3,6,16,1601,4,99,4,32,1,2007,4,6
1651,2021,20,0,1,1,3,6,2,203,99,99,4,32,1,2016,5,1
1652,2021,20,2,1,1,3,6,4,415,99,99,3,69,3,1994,3,1
1653,2021,20,11,2,1,3,6,4,412,99,99,3,41,2,2008,4,1
1654,2021,20,21,4,3,3,6,3,312,99,99,4,27,5,9999,99,1
1655,2021,20,17,3,2,3,6,20,2001,2,99,4,999,99,9999,99,1
1656,2021,21,19,4,3,3,7,1,105,99,99,1,41,14,2019,5,1
1657,2021,21,16,3,2,3,7,1,101,18,18,4,999,99,9999,99,6
1658,2021,21,17,3,2,3,7,1,101,24,24,1,28,3,2008,4,1
1659,2021,21,0,1,1,3,7,1,101,21,21,1,69,3,2003,4,1
1660,2021,21,1,1,1,3,7,1,101,12,12,3,56,5,2004,4,2
1661,2021,21,19,4,3,3,7,1,101,7,7,5,41,2,2007,4,1
1662,2021,21,15,3,2,3,7,1,117,8,99,4,32,5,9999,99,2
1663,2021,21,20,4,3,3,7,1,116,99,99,4,999,99,9999,99,1
1664,2021,21,20,4,3,3,7,1,117,7,99,1,69,99,1989,2,1
1665,2021,21,19,4,3,3,7,1,108,5,99,4,32,5,9999,99,6
1666,2021,21,4,1,1,3,7,22,2201,99,99,4,32,7,2017,5,6
1667,2021,21,17,3,2,3,7,22,2205,99,99,2,999,5,9999,99,2
1668,2021,21,20,4,3,3,7,5,501,99,99,4,6,5,9999,99,6
1669,2021,21,12,3,2,3,7,5,503,99,99,3,69,5,2002,4,3
1670,2021,21,0,1,1,3,7,12,1218,99,99,3,48,5,9999,99,1
1671,2021,21,2,1,1,3,7,12,1215,99,99,1,69,4,9999,99,2
1672,2021,21,18,4,3,3,7,13,1309,99,99,12,17,9,9999,99,1
1673,2021,21,0,1,1,3,7,13,1312,99,99,4,32,1,9999,99,1
1674,2021,21,17,3,2,3,7,16,1613,99,99,4,6,5,9999,99,6
1675,2021,21,17,3,2,3,7,2,207,99,99,4,76,9,9999,99,1
1676,2021,21,19,4,3,3,7,2,201,99,99,4,27,3,9999,99,6
1677,2021,21,21,4,3,3,7,2,208,99,99,4,999,99,9999,99,1
1678,2021,21,15,3,2,3,7,18,1803,99,99,4,18,5,2020,6,1
1679,2021,21,2,1,1,3,7,14,1412,99,99,3,69,3,1998,3,7
1680,2021,21,0,1,1,3,7,1,101,7,7,4,32,5,2021,6,1
1681,2021,21,23,4,3,3,7,20,2001,99,99,4,27,1,2018,5,6
1682,2021,22,14,3,2,3,1,1,102,99,99,1,48,5,1999,3,1
1683,2021,22,0,1,1,3,1,1,115,8,99,4,999,1,2013,5,1
1684,2021,22,15,3,2,3,1,1,116,99,99,5,30,14,1997,3,1
1685,2021,22,20,4,3,3,1,20,2001,99,99,2,27,2,9999,99,1
1686,2021,22,16,3,2,3,1,19,1904,99,99,4,999,99,9999,99,6
1687,2021,22,7,2,1,3,1,5,510,99,99,3,56,2,9999,99,1
1688,2021,22,17,3,2,3,1,5,510,99,99,4,999,99,9999,99,6
1689,2021,22,15,3,2,3,1,6,602,99,99,3,69,3,1992,3,1
1690,2021,22,18,4,3,3,1,10,1001,99,99,12,30,7,9999,99,2
1691,2021,22,13,3,2,3,1,11,1103,99,99,9,69,6,2009,4,1
1692,2021,22,13,3,2,3,1,12,1201,2,99,1,69,99,1995,3,1
1693,2021,22,1,1,1,3,1,13,1311,99,99,3,999,5,9999,99,1
1694,2021,22,9,2,1,3,1,16,1613,99,99,5,19,2,2001,4,1
1695,2021,22,2,1,1,3,1,18,1804,99,99,6,999,99,9999,99,1
1696,2021,22,18,4,3,3,1,18,1803,99,99,6,999,99,9999,99,1
1697,2021,22,2,1,1,3,1,4,401,1,99,2,21,9,1997,3,2
1698,2021,22,23,4,3,3,1,3,303,99,99,4,32,3,2020,6,1
1699,2021,23,13,3,2,3,2,1,101,17,17,1,69,4,2021,6,1
1700,2021,23,20,4,3,3,2,1,101,18,18,1,27,4,9999,99,1
1701,2021,23,4,1,1,3,2,1,101,12,12,1,27,1,2015,5,1
1702,2021,23,19,4,3,3,2,1,101,12,12,1,48,5,2015,5,1
1703,2021,23,21,4,3,3,2,1,101,12,12,3,14,1,1980,2,1
1704,2021,23,15,3,2,3,2,22,2205,99,99,8,67,4,9999,99,1
1705,2021,23,17,3,2,3,2,20,2008,99,99,1,999,99,9999,99,3
1706,2021,23,18,4,3,3,2,18,1801,99,99,99,999,99,9999,99,1
1707,2021,23,6,2,1,3,2,3,314,99,99,1,52,5,9999,99,1
1708,2021,24,7,2,1,3,3,1,101,18,18,1,999,99,9999,99,1
1709,2021,24,17,3,2,3,3,1,102,99,99,5,31,2,2017,5,1
1710,2021,24,15,3,2,3,3,1,101,12,12,6,19,1,9999,99,1
1711,2021,24,12,3,2,3,3,1,108,4,99,4,27,1,9999,99,6
1712,2021,24,7,2,1,3,3,6,602,99,99,3,69,3,1979,1,1
1713,2021,24,7,2,1,3,3,6,602,99,99,1,51,11,2010,5,1
1714,2021,24,16,3,2,3,3,10,1004,99,99,6,19,1,2007,4,1
1715,2021,24,19,4,3,3,3,17,1703,99,99,1,48,5,2010,5,1
1716,2021,24,22,4,3,3,3,1,101,10,10,1,52,4,9999,99,1
1717,2021,25,19,4,3,3,4,1,101,1,1,1,10,6,2006,4,1
1718,2021,25,14,3,2,3,4,1,101,18,18,9,28,6,2003,4,1
1719,2021,25,10,2,1,3,4,1,102,99,99,13,70,7,9999,99,1
1720,2021,25,16,3,2,3,4,1,101,7,7,4,999,99,9999,99,6
1721,2021,25,21,4,3,3,4,1,101,11,11,4,6,3,9999,99,1
1722,2021,25,23,4,3,3,4,1,108,8,99,4,999,99,9999,99,6
1723,2021,25,22,4,3,3,4,20,2009,99,99,4,5,99,2000,4,6
1724,2021,25,19,4,3,3,4,5,501,99,99,4,999,99,9999,99,2
1725,2021,25,20,4,3,3,4,5,501,99,99,2,69,99,9999,99,1
1726,2021,25,17,3,2,3,4,6,611,99,99,4,67,1,2017,5,1
1727,2021,25,2,1,1,3,4,9,914,99,99,6,19,6,2007,4,1
1728,2021,25,13,3,2,3,4,9,901,2,99,3,999,3,9999,99,1
1729,2021,25,8,2,1,3,4,12,1216,99,99,4,18,99,9999,99,2
1730,2021,25,15,3,2,3,4,2,207,99,99,5,26,2,2020,6,3
1731,2021,25,13,3,2,3,4,2,201,99,99,4,999,99,9999,99,2
1732,2021,25,15,3,2,3,4,17,1705,99,99,5,999,99,9999,99,1
1733,2021,25,20,4,3,3,4,3,309,99,99,4,6,99,9999,99,1
1734,2021,26,10,2,1,3,5,1,105,99,99,4,999,99,9999,99,1
1735,2021,26,9,2,1,3,5,1,108,4,99,3,17,7,2004,4,1
1736,2021,26,8,2,1,3,5,16,1603,99,99,3,69,4,9999,99,3
1737,2021,26,6,2,1,3,5,15,1501,99,99,4,999,99,9999,99,2
1738,2021,26,5,1,1,3,5,4,406,99,99,3,56,4,9999,99,2
1739,2021,26,9,2,1,3,5,3,308,99,99,5,999,3,2006,4,1
1740,2021,26,12,3,2,3,5,3,306,99,99,1,56,4,2012,5,1
1741,2021,27,12,3,2,3,6,1,101,3,3,1,28,5,2017,5,1
1742,2021,27,13,3,2,3,6,1,101,9,9,12,159,6,2008,4,1
1743,2021,27,11,2,1,3,6,1,101,18,18,4,25,5,2015,5,1
1744,2021,27,21,4,3,3,6,1,101,18,18,4,32,4,9999,99,6
1745,2021,27,23,4,3,3,6,1,101,18,18,4,38,5,9999,99,6
1746,2021,27,16,3,2,3,6,1,101,6,6,4,999,99,9999,99,1
1747,2021,27,18,4,3,3,6,1,101,21,21,1,48,1,9999,99,1
1748,2021,27,0,1,1,3,6,1,115,99,99,4,27,5,9999,99,1
1749,2021,27,18,4,3,3,6,22,2212,99,99,3,999,9,9999,99,1
1750,2021,27,23,4,3,3,6,6,601,99,99,5,999,99,9999,99,3
1751,2021,27,8,2,1,3,6,13,1319,99,99,3,69,3,9999,99,7
1752,2021,27,17,3,2,3,6,18,1801,99,99,6,19,2,9999,99,1
1753,2021,27,18,4,3,3,6,18,1801,99,99,4,100,5,9999,99,1
1754,2021,27,9,2,1,3,6,14,1406,99,99,1,69,4,9999,99,1
1755,2021,27,17,3,2,3,6,14,1401,99,99,4,76,99,9999,99,1
1756,2021,27,6,2,1,3,6,4,401,99,99,1,27,5,9999,99,1
1757,2021,28,5,1,1,3,7,1,101,18,18,4,76,5,2019,5,6
1758,2021,28,13,3,2,3,7,1,105,99,99,1,69,4,2003,4,1
1759,2021,28,22,4,3,3,7,1,101,6,6,1,48,8,1989,2,1
1760,2021,28,19,4,3,3,7,1,114,99,99,2,52,4,9999,99,1
1761,2021,28,14,3,2,3,7,21,2101,1,99,5,41,2,9999,99,1
1762,2021,28,23,4,3,3,7,5,501,99,99,4,999,99,9999,99,6
1763,2021,28,20,4,3,3,7,5,501,99,99,4,32,1,9999,99,1
1764,2021,28,11,2,1,3,7,10,1014,99,99,12,30,1,9999,99,1
1765,2021,28,16,3,2,3,7,10,1001,2,99,4,67,5,9999,99,1
1766,2021,29,16,3,2,3,1,1,113,1,99,2,10,4,1999,3,2
1767,2021,29,6,2,1,3,1,1,101,10,10,9,69,3,2020,6,1
1768,2021,29,18,4,3,3,1,1,101,12,12,1,999,4,9999,99,1
1769,2021,29,13,3,2,3,1,1,115,4,99,4,999,5,9999,99,6
1770,2021,29,14,3,2,3,1,1,116,1,99,12,999,7,9999,99,1
1771,2021,29,8,2,1,3,1,1,110,99,99,5,31,2,2012,5,1
1772,2021,29,17,3,2,3,1,22,2201,99,99,1,999,4,2008,4,1
1773,2021,29,10,2,1,3,1,6,601,99,99,12,19,2,1995,3,6
1774,2021,29,19,4,3,3,1,6,606,99,99,1,999,5,9999,99,1
1775,2021,28,16,3,2,3,7,10,1001,2,99,4,18,4,9999,99,1
1776,2021,28,15,3,2,3,7,9,917,99,99,3,27,99,9999,99,1
1777,2021,29,7,2,1,3,1,9,901,2,99,3,69,9,9999,99,1
1778,2021,29,11,2,1,3,1,9,901,2,99,1,48,3,2000,4,1
1779,2021,28,15,3,2,3,7,13,1326,99,99,3,69,6,9999,99,1
1780,2021,29,3,1,1,3,1,8,806,99,99,5,41,2,9999,99,1
1781,2021,28,18,4,3,3,7,16,1609,99,99,1,56,1,1988,2,2
1782,2021,29,6,2,1,3,1,2,201,99,99,22,59,1,2016,5,1
1783,2021,29,17,3,2,3,1,18,1802,99,99,4,76,99,9999,99,1
1784,2021,29,9,2,1,3,1,14,1413,99,99,5,19,2,1997,3,1
1785,2021,30,23,4,3,3,2,1,101,2,2,4,6,3,9999,99,2
1786,2021,30,11,2,1,3,2,1,101,19,19,1,69,2,2004,4,1
1787,2021,30,1,1,1,3,2,5,511,99,99,12,999,2,9999,99,1
1788,2021,30,23,4,3,3,2,10,1001,99,99,2,27,10,2015,5,1
1789,2021,30,1,1,1,3,2,17,1703,99,99,4,999,99,9999,99,1
1790,2021,31,14,3,2,3,3,1,101,18,18,3,69,2,1980,2,1
1791,2021,31,23,4,3,3,3,1,101,5,5,4,999,99,9999,99,8
1792,2021,31,19,4,3,3,3,1,101,7,7,4,38,1,9999,99,2
1793,2021,31,20,4,3,3,3,1,114,99,99,4,67,5,9999,99,1
1794,2021,31,22,4,3,3,3,1,114,99,99,4,6,99,2017,5,1
1795,2021,31,22,4,3,3,3,1,112,99,99,4,67,5,9999,99,1
1796,2021,31,13,3,2,3,3,22,2201,99,99,9,999,1,2007,4,1
1797,2021,31,17,3,2,3,3,5,509,99,99,4,6,5,9999,99,6
1798,2021,31,22,4,3,3,3,11,1101,2,99,1,48,4,9999,99,1
1799,2021,31,1,1,1,3,3,9,920,99,99,4,67,5,2015,5,1
1800,2021,31,7,2,1,3,3,16,1610,99,99,12,28,11,2003,4,3
1801,2021,31,23,4,3,3,3,2,207,99,99,4,39,5,9999,99,6
1802,2021,31,23,4,3,3,3,18,1801,99,99,4,999,99,9999,99,6
1803,2021,31,8,2,1,3,3,14,1401,99,99,4,999,99,9999,99,1
1804,2021,31,18,4,3,3,3,4,401,99,99,4,27,9,9999,99,1
1805,2021,31,18,4,3,3,3,3,301,99,99,3,69,11,9999,99,1
1806,2021,1,16,3,2,3,1,1,101,13,13,99,999,99,9999,99,5
1807,2021,1,19,4,3,3,1,5,509,99,99,6,19,2,1999,3,5
1808,2021,1,12,3,2,3,1,11,1102,99,99,1,56,99,9999,99,5
1809,2021,1,20,4,3,3,1,2,202,99,99,1,999,2,9999,99,5
1810,2021,1,4,1,1,3,1,18,1804,99,99,99,999,99,9999,99,5
1811,2021,1,23,4,3,3,1,4,406,99,99,99,999,99,9999,99,5
1812,2021,2,10,2,1,3,2,1,101,13,13,1,27,4,2014,5,5
1813,2021,2,18,4,3,3,2,18,1803,99,99,99,999,99,9999,99,5
1814,2021,3,8,2,1,3,3,1,113,3,99,1,27,5,2014,5,5
1815,2021,3,5,1,1,3,3,1,101,12,12,99,999,99,9999,99,5
1816,2021,3,5,1,1,3,3,1,108,4,99,99,999,99,9999,99,5
1817,2021,3,5,1,1,3,3,22,2205,99,99,99,999,99,9999,99,5
1818,2021,3,2,1,1,3,3,11,1102,99,99,99,999,99,9999,99,5
1819,2021,3,2,1,1,3,3,17,1711,99,99,4,32,1,9999,99,5
1820,2021,3,23,4,3,3,3,3,312,99,99,4,32,1,9999,99,5
1821,2021,3,21,4,3,3,3,3,301,99,99,99,999,99,9999,99,5
1822,2021,4,19,4,3,3,4,1,101,1,1,1,41,2,2008,4,5
1823,2021,4,23,4,3,3,4,16,1615,99,99,3,999,99,9999,99,5
1824,2021,4,0,1,1,3,4,18,1802,99,99,4,999,99,9999,99,5
1825,2021,5,23,4,3,3,5,1,104,99,99,1,999,99,9999,99,5
1826,2021,5,16,3,2,3,5,1,108,6,99,1,999,99,9999,99,5
1827,2021,5,20,4,3,3,5,22,2202,99,99,3,69,9,1991,3,5
1828,2021,5,6,2,1,3,5,18,1803,99,99,4,999,99,9999,99,5
1829,2021,5,19,4,3,3,5,3,312,99,99,3,999,99,9999,99,5
1830,2021,6,22,4,3,3,6,1,101,3,3,99,999,5,9999,99,5
1831,2021,6,1,1,1,3,6,1,103,2,99,99,999,99,9999,99,5
1832,2021,6,6,2,1,3,6,1,102,99,99,99,999,99,9999,99,5
1833,2021,6,17,3,2,3,6,1,101,13,13,99,999,99,9999,99,5
1834,2021,6,8,2,1,3,6,1,115,5,99,11,56,2,9999,99,5
1835,2021,6,22,4,3,3,6,1,115,3,99,1,999,4,9999,99,5
1836,2021,6,19,4,3,3,6,1,101,19,19,2,999,10,9999,99,5
1837,2021,6,18,4,3,3,6,1,110,99,99,99,999,99,9999,99,5
1838,2021,6,6,2,1,3,6,5,501,99,99,2,69,3,9999,99,5
1839,2021,6,20,4,3,3,6,10,1008,99,99,14,6,1,2019,5,5
1840,2021,6,14,3,2,3,6,18,1803,99,99,99,999,99,9999,99,5
1841,2021,7,20,4,3,3,7,1,114,99,99,1,999,99,9999,99,5
1842,2021,7,17,3,2,3,7,22,2201,99,99,4,67,5,2016,5,5
1843,2021,7,21,4,3,3,7,6,602,99,99,3,999,99,9999,99,5
1844,2021,7,18,4,3,3,7,12,1215,99,99,4,6,1,2010,5,5
1845,2021,8,9,2,1,3,1,1,107,99,99,4,2,3,2020,6,5
1846,2021,8,6,2,1,3,1,1,115,2,99,4,27,1,2012,5,5
1847,2021,8,22,4,3,3,1,1,115,99,99,99,999,99,9999,99,5
1848,2021,8,17,3,2,3,1,6,613,99,99,14,999,99,9999,99,5
1849,2021,8,19,4,3,3,1,9,920,99,99,9,28,7,2000,4,5
1850,2021,9,10,2,1,3,2,1,101,1,1,1,67,4,2007,4,5
1851,2021,9,16,3,2,3,2,22,2216,99,99,6,19,9,9999,99,5
1852,2021,10,17,3,2,3,3,1,101,18,18,2,69,2,2005,4,5
1853,2021,10,15,3,2,3,3,1,101,6,6,4,32,1,2020,6,5
1854,2021,10,7,2,1,3,3,1,105,99,99,99,999,99,9999,99,5
1855,2021,10,18,4,3,3,3,1,115,5,99,1,48,2,9999,99,5
1856,2021,11,18,4,3,3,4,1,114,99,99,4,18,5,9999,99,5
1857,2021,11,20,4,3,3,4,7,705,99,99,1,999,3,9999,99,5
1858,2021,12,17,3,2,3,5,18,1802,99,99,6,999,2,9999,99,5
1859,2021,12,19,4,3,3,5,1,101,7,7,1,48,99,9999,99,5
1860,2021,12,19,4,3,3,5,12,1229,99,99,99,999,99,9999,99,5
1861,2021,13,21,4,3,3,6,1,106,99,99,4,999,99,9999,99,5
1862,2021,13,21,4,3,3,6,1,101,10,10,4,6,5,2018,5,5
1863,2021,13,21,4,3,3,6,20,2001,99,99,2,69,2,9999,99,5
1864,2021,13,14,3,2,3,6,10,1016,99,99,1,41,7,9999,99,5
1865,2021,13,17,3,2,3,6,11,1108,99,99,4,999,5,9999,99,5
1866,2021,13,21,4,3,3,6,17,1703,99,99,4,64,5,9999,99,5
1867,2021,13,18,4,3,3,6,14,1420,99,99,3,69,4,2018,5,5
1868,2021,13,19,4,3,3,6,3,303,99,99,4,67,3,2006,4,5
1869,2021,14,7,2,1,3,7,1,106,99,99,14,6,1,2020,6,5
1870,2021,14,17,3,2,3,7,1,101,18,18,1,48,3,1990,3,5
1871,2021,14,6,2,1,3,7,1,114,99,99,99,999,99,9999,99,5
1872,2021,14,14,3,2,3,7,22,2205,99,99,3,999,1,9999,99,5
1873,2021,14,19,4,3,3,7,20,2008,99,99,99,999,99,9999,99,5
1874,2021,14,17,3,2,3,7,5,507,99,99,4,27,3,9999,99,5
1875,2021,14,21,4,3,3,7,7,701,99,99,2,41,2,2013,5,5
1876,2021,14,13,3,2,3,7,7,704,99,99,99,999,99,9999,99,5
1877,2021,15,16,3,2,3,1,1,101,24,24,1,52,9,2004,4,5
1878,2021,15,0,1,1,3,1,5,501,99,99,99,999,99,9999,99,5
1879,2021,15,16,3,2,3,1,5,502,1,99,5,41,2,2016,5,5
1880,2021,15,9,2,1,3,1,9,901,1,99,3,69,4,2019,5,5
1881,2021,15,20,4,3,3,1,15,1507,99,99,4,27,1,9999,99,5
1882,2021,16,21,4,3,3,2,1,101,2,2,4,25,1,2019,5,5
1883,2021,16,20,4,3,3,2,1,101,18,18,4,25,5,2007,4,5
1884,2021,16,9,2,1,3,2,1,101,7,7,1,90,2,9999,99,5
1885,2021,16,19,4,3,3,2,1,108,10,99,4,999,99,9999,99,5
1886,2021,16,17,3,2,3,2,19,1905,99,99,2,17,99,9999,99,5
1887,2021,16,13,3,2,3,2,10,1013,99,99,1,31,1,1986,2,5
1888,2021,16,11,2,1,3,2,14,1401,5,99,2,27,9,2006,4,5
1889,2021,16,19,4,3,3,2,7,709,99,99,4,54,1,9999,99,5
1890,2021,16,18,4,3,3,2,4,401,99,99,4,6,1,2016,5,5
1891,2021,16,12,3,2,3,2,3,309,99,99,3,69,5,1979,1,5
1892,2021,16,20,4,3,3,2,3,308,99,99,1,28,2,2016,5,5
1893,2021,17,9,2,1,3,3,1,101,3,3,1,48,3,1997,3,5
1894,2021,17,14,3,2,3,3,1,101,25,25,3,56,2,2007,4,5
1895,2021,17,5,1,1,3,3,19,1902,99,99,99,999,99,9999,99,5
1896,2021,17,11,2,1,3,3,16,1607,99,99,4,999,1,9999,99,5
1897,2021,18,1,1,1,3,4,1,114,99,99,4,999,99,9999,99,5
1898,2021,18,3,1,1,3,4,1,108,1,99,2,90,2,2006,4,5
1899,2021,18,2,1,1,3,4,22,2202,99,99,1,999,99,9999,99,5
1900,2021,18,10,2,1,3,4,5,509,99,99,5,84,4,2022,6,5
1901,2021,19,23,4,3,3,5,1,101,18,18,5,999,99,9999,99,5
1902,2021,19,11,2,1,3,5,1,103,4,99,2,999,99,9999,99,5
1903,2021,19,16,3,2,3,5,9,901,2,99,4,67,5,2021,6,5
1904,2021,19,16,3,2,3,5,18,1801,99,99,3,999,99,9999,99,5
1905,2021,19,18,4,3,3,5,14,1413,99,99,4,27,1,9999,99,5
1906,2021,19,20,4,3,3,5,14,1401,4,99,1,48,3,2011,5,5
1907,2021,20,11,2,1,3,6,1,101,1,1,4,2,5,2018,5,5
1908,2021,20,23,4,3,3,6,1,108,6,99,1,999,99,9999,99,5
1909,2021,20,18,4,3,3,6,5,501,99,99,6,74,14,9999,99,5
1910,2021,20,7,2,1,3,6,5,513,99,99,1,999,99,9999,99,5
1911,2021,21,15,3,2,3,7,1,114,99,99,4,18,2,2015,5,5
